num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Mobile,RoundTrip,15,5,13,7.0,ICNKCH,Malaysia,0,0,1,6.62,0
1,Internet,RoundTrip,298,4,9,,DMKMEL,Thailand,1,0,0,8.83,1
2,Internet,RoundTrip,200,6,5,3.0,DPSICN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,79,21,11,6.0,KCHSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,105,20,6,7.0,ICNMAA,South Korea,1,0,1,6.62,0
2,Internet,RoundTrip,23,30,14,4.0,ICNMEL,South Korea,1,1,1,8.83,0
1,Internet,RoundTrip,3,27,7,,PERTRZ,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,271,6,16,7.0,DPSPUS,Vietnam,0,1,0,6.33,0
1,Internet,RoundTrip,22,4,4,4.0,COKKIX,Japan,1,1,1,7.0,0
1,Internet,RoundTrip,197,53,6,6.0,PNHSYD,Australia,1,1,0,8.58,0
2,Internet,RoundTrip,2,17,2,5.0,HKTPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,85,43,11,6.0,OOLSGN,Australia,0,1,0,8.83,0
1,Internet,RoundTrip,23,90,0,,ICNSBW,Malaysia,1,0,0,6.62,0
1,Mobile,RoundTrip,99,24,2,3.0,SGNSYD,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,198,5,15,3.0,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,75,30,7,4.0,JHBKTM,Malaysia,1,0,0,4.75,0
1,Internet,RoundTrip,237,6,12,3.0,KCHKIX,Indonesia,0,0,0,7.0,0
1,Mobile,RoundTrip,55,5,7,3.0,CTSHKT,Thailand,1,0,1,8.67,0
3,Internet,RoundTrip,8,4,0,,COKMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,29,175,14,3.0,COKSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,140,17,6,6.0,CEBMEL,Australia,1,0,0,8.83,0
2,Internet,RoundTrip,15,5,5,6.0,COKHGH,India,1,1,1,5.07,1
1,Internet,RoundTrip,47,4,4,6.0,PEKSIN,China,0,0,0,6.42,0
1,Internet,RoundTrip,12,57,12,3.0,DMKSYD,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,6,32,12,5.0,KCHPER,Australia,1,0,1,5.62,0
2,Internet,RoundTrip,1,54,2,3.0,CGKPEK,China,1,1,1,6.42,0
1,Mobile,RoundTrip,75,17,3,,COKSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,121,30,1,3.0,DMKMEL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,34,25,14,5.0,MELTPE,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,2,61,7,,KTMPEN,Malaysia,1,0,1,4.75,0
2,Internet,RoundTrip,39,29,1,6.0,IKAMEL,Australia,1,0,1,8.83,0
3,Internet,RoundTrip,23,3,9,5.0,DELPEN,Malaysia,0,0,0,5.52,0
1,Internet,RoundTrip,46,6,3,,CTUMEL,Australia,0,1,1,8.83,1
1,Internet,RoundTrip,112,20,3,6.0,AKLDEL,New Zealand,0,0,0,5.52,0
1,Internet,RoundTrip,10,5,5,,BKIXIY,Singapore,1,1,0,5.0,1
3,Internet,RoundTrip,62,4,10,,DMKMRU,Thailand,0,0,0,7.42,0
1,Mobile,RoundTrip,13,19,12,,DACHND,Bangladesh,0,0,0,7.57,0
1,Internet,RoundTrip,54,30,6,,CGKPEK,China,1,0,0,6.42,0
1,Internet,RoundTrip,34,24,7,,DPSHND,Japan,1,0,0,7.57,0
6,Internet,RoundTrip,224,38,6,5.0,AKLKUL,Malaysia,1,0,1,8.83,0
1,Internet,RoundTrip,98,6,16,7.0,HKTTPE,Taiwan,1,1,1,4.67,0
1,Internet,RoundTrip,1,3,15,,CGKPVG,China,0,0,0,5.33,0
